symbol,topic,horizon_h,n,mean_ret,abn_ret,mean_abs_ret,t,tone_hit,tone_n
LIT,fed_macro,24,8,0.07961137757789291,0.08312765495792551,0.07961137757789291,5.80140955863368,0.0,8
LIT,crypto,4,13,0.05256835840048375,0.05310042911365849,0.053227798834415044,4.917102781879469,0.23076923076923078,13
LIT,geopolitics,24,8,0.07718685481030528,0.08070313219033788,0.0772049471536256,4.265935087988397,0.125,8
LIT,fed_macro,4,8,0.05866412637744571,0.05919619709062045,0.06055412499029074,4.076869711890989,0.125,8
LIT,fed_macro,1,8,0.12636958171603463,0.12645696613775062,0.12676445303444028,4.006157337557234,0.125,8
LIT,crypto,1,13,0.09659083754318692,0.09667822196490293,0.09690472794063196,3.7247124074064395,0.23076923076923078,13
HYPE,fed_macro,1,8,0.0037444936057525607,0.0036139467061638247,0.004542809371429216,3.403101882466006,0.125,8
VVV,crypto,1,13,0.010463088299368808,0.009811931202423144,0.013107189512246618,3.3540499379162902,0.23076923076923078,13
VVV,geopolitics,4,8,0.02008414858404138,0.01747233083176141,0.022902116282560905,3.0541758525102622,0.125,8
xyz_SILVER,fed_macro,1,8,0.0034985928630815594,0.0033637466263336754,0.003549469293702992,2.9847909445889638,0.125,8
VVV,crypto,4,13,0.0180611414845113,0.015449323732231327,0.02684165308938871,2.9803894934529724,0.3076923076923077,13
LIT,commodities,1,13,0.077120394051478,0.077207778473194,0.08410008465501878,2.939068043623686,0.23076923076923078,13
VVV,geopolitics,1,8,0.008007186628650742,0.007356029531705078,0.008764252577506737,2.8974711518466156,0.125,8
LIT,geopolitics,4,8,0.0479153427670323,0.048447413480207036,0.057126024784911245,2.8741116751176348,0.25,8
xyz_MU,crypto,4,13,0.023361064633109982,0.018152131563918428,0.025959763130958772,2.867467624959488,0.15384615384615385,13
xyz_SNDK,crypto,24,13,0.06883111542602126,0.011012067385499556,0.096719595020811,2.830820415069193,0.23076923076923078,13
VVV,geopolitics,24,8,0.07249772360564172,0.05686900654775273,0.07275827597666829,2.8265637829088814,0.125,8
ETH,crypto,4,13,0.00753416310445342,0.007652906524702538,0.009074805605374702,2.8253407498578,0.38461538461538464,13
BTC,geopolitics,4,8,0.005047979102042147,0.005253557222012289,0.005919246969781342,2.823467187381669,0.125,8
xyz_MU,crypto,24,13,0.060579439873111346,0.028223876819595692,0.07779815535022275,2.6484868908183845,0.23076923076923078,13
BTC,geopolitics,24,8,0.014486884720498208,0.015764982093525004,0.01606899646669173,2.4565289131041803,0.25,8
ETH,geopolitics,24,8,0.028530617186470375,0.029237734234477578,0.030793241037496033,2.451499933385974,0.25,8
LIT,commodities,4,13,0.03463743685998145,0.035169507573156185,0.049525584283515355,2.443647489388942,0.3076923076923077,13
xyz_XYZ100,crypto,24,13,0.01428349357375458,0.010054035910277809,0.020121829504310115,2.4386042606665774,0.23076923076923078,13
LIT,geopolitics,1,8,0.09155370244094058,0.09164108686265658,0.10326945518623104,2.4292437174029105,0.375,8
LIT,crypto,24,13,0.04840054765364128,0.051916825033673876,0.07196009672317569,2.4291743600689064,0.46153846153846156,13
xyz_SNDK,crypto,4,13,0.02810231068560622,0.018649031815706894,0.03174998594916779,2.376040291280913,0.38461538461538464,13
xyz_SILVER,crypto,24,13,0.020739510117733194,0.017503212851818314,0.02949003836559636,2.3742601106511363,0.38461538461538464,13
CRV,commodities,24,13,0.02519420558078091,0.026784572592334337,0.038923550842854045,2.3519942168898234,0.23076923076923078,13
WLD,geopolitics,24,8,0.02653903584188773,0.026587880086364715,0.035016213366082447,2.346488140485228,0.25,8
BTC,commodities,24,13,0.011904796071456166,0.013182893444482962,0.016801720358816108,2.313897795920698,0.3076923076923077,13
SUI,fed_macro,1,8,0.010338519557761702,0.010458223117286227,0.010596854250751311,2.2381914610675344,0.125,8
BTC,geopolitics,1,8,0.0036724195228952095,0.0037235534342771846,0.004700446728051033,2.1834677449982527,0.25,8
VVV,fed_macro,4,8,0.01427193969568473,0.011660121943404758,0.019251223419388133,2.1645907239095736,0.25,8
ETH,geopolitics,4,8,0.00862444083632162,0.008743184256570738,0.011003411818302958,2.147490617863121,0.125,8
LIT,commodities,24,13,0.04580135233457247,0.049317629714605064,0.08020167114750522,2.1249265294541204,0.23076923076923078,13
xyz_SP500,commodities,4,12,0.0024988876750636213,0.0020452941850637027,0.0034399974826968736,2.0717937966309488,0.4166666666666667,12
SOL,geopolitics,24,8,0.01894594339164128,0.020673703516985015,0.023748685766553104,2.035573575678155,0.25,8
xyz_MU,fed_macro,1,8,-0.0037465878178763318,-0.005039542575280186,0.00475544677776589,-2.011615068277076,0.75,8
HYPE,fed_macro,4,8,0.0077490634913265355,0.007240077985927074,0.009318349283815863,2.007289152143572,0.125,8
xyz_SP500,crypto,24,13,0.009499464108805448,0.006519587952763066,0.015053805594383783,2.0031613761154854,0.23076923076923078,13
xyz_XYZ100,geopolitics,24,8,0.015692879703264453,0.011463422039787683,0.019319396578243705,1.9721402240870984,0.375,8
VVV,crypto,24,13,0.016502033059055312,0.000873316001166323,0.02752247650928624,1.9332361673669203,0.3076923076923077,13
CRV,fed_macro,24,8,0.037058974387165655,0.03864934139871908,0.04911499749003123,1.9228491619455663,0.25,8
xyz_SP500,crypto,4,13,0.00429929789727344,0.0038457044072735215,0.005197694679714768,1.8923107127630627,0.15384615384615385,13
xyz_SNDK,commodities,24,12,0.06290136252182062,0.005082314481298915,0.10167806328542883,1.8921763028339753,0.4166666666666667,12
xyz_NATGAS,crypto,24,13,-0.019390985881199013,-0.019903946539697688,0.028722730622217044,-1.8912948230233397,0.38461538461538464,13
CRV,geopolitics,4,8,0.010784714279984273,0.010983459674864379,0.015376267334081387,1.8807800725233828,0.25,8
SOL,geopolitics,4,8,0.008570165329230661,0.008858368199324644,0.012096504507422112,1.8731044300885704,0.375,8
xyz_SNDK,geopolitics,24,8,0.06874090670870857,0.010921858668186867,0.09814607009399391,1.8725864895051916,0.375,8
xyz_XYZ100,crypto,4,13,0.00568091488721562,0.005034200253004316,0.006900857748777194,1.8700808850204207,0.23076923076923078,13
WLD,geopolitics,4,8,0.006226770136898624,0.006227154446887331,0.008842503100045779,1.8157007256578488,0.25,8
xyz_SP500,geopolitics,24,8,0.011288966705109954,0.00830909054906757,0.015517485259725933,1.7993654948879798,0.25,8
SOL,crypto,4,13,0.007508223331373866,0.007796426201467848,0.010777336869572624,1.7903549570303707,0.5384615384615384,13
xyz_SILVER,crypto,1,13,0.003557198807689924,0.00342235257094204,0.005807872352856778,1.7663131516954635,0.38461538461538464,13
HYPE,geopolitics,1,8,0.005407692447702173,0.005277145548113437,0.007058664686909688,1.722971873515832,0.125,8
xyz_NATGAS,geopolitics,4,8,0.011104344182030434,0.01100643836350454,0.011104344182030434,1.7130458090220269,0.0,8
xyz_SP500,fed_macro,24,8,0.004832059219799567,0.0018521830637571847,0.007018187647312657,1.705677210027599,0.25,8
ETH,geopolitics,1,8,0.005618504270557906,0.005648173148188092,0.006885038365608692,1.7035511098919183,0.25,8
XRP,geopolitics,24,8,0.025366482899381773,0.026736734898006723,0.03402758647495012,1.702572072381625,0.375,8
WLD,geopolitics,1,8,0.005344985727589277,0.005347346107756193,0.008765508866422259,1.6990259573233175,0.125,8
xyz_NATGAS,geopolitics,1,8,0.007551383115787652,0.007514419738186176,0.007551383115787652,1.696491189089429,0.0,8
WLD,crypto,4,13,0.010608867450857993,0.0106092517608467,0.015908513061597216,1.6712381253905502,0.38461538461538464,13
NEAR,fed_macro,1,8,0.007227471904581062,0.0071904304141396196,0.009389409085128642,1.657531689287037,0.25,8
HYPE,geopolitics,4,8,0.005674453836490664,0.0051654683310912025,0.008905060008273305,1.6238354295690764,0.125,8
XRP,geopolitics,4,8,0.007424523702235189,0.007650474232578355,0.011460037430497491,1.6177413570179584,0.25,8
